Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle,1st Road Class & No
130225373,431882,435430,1,30-May-13,1500,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,10,Car,
130225938,429498,431064,2,01-Jun-13,1355,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,40,Car,
130225938,429498,431064,2,01-Jun-13,1355,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,35,Pedal cycle,
130226088,428990,428375,1,01-Jun-13,1701,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,5,Car,
130226176,443319,438968,2,01-Jun-13,1705,A(M),Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,28,Minibus (8  16 passenger seats),
130226232,431681,433441,1,01-Jun-13,1813,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Serious,Male,23,Motorcycle over 125cc and up to 500cc,
130226239,431049,424680,2,31-May-13,1430,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,34,Car,
130226300,427750,436151,2,01-Jun-13,1415,B,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,20,Car,
130226371,429916,428025,2,01-Jun-13,2010,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,35,Car,
130226783,428419,433351,1,02-Jun-13,1005,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,19,Car,
130226973,436220,436854,2,02-Jun-13,948,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,50,Motorcycle over 500cc,
130226994,426647,433493,2,02-Jun-13,1205,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,50,Car,
130227072,432291,438740,1,01-Jun-13,1325,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,69,Car,
130227445,443294,427585,4,02-Jun-13,1725,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,25,Car,
130227445,443294,427585,4,02-Jun-13,1725,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,27,Car,
130227445,443294,427585,4,02-Jun-13,1725,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Serious,Male,27,Car,
130227445,443294,427585,4,02-Jun-13,1725,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,46,Car,
130227479,435156,434873,2,02-Jun-13,2047,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,21,Car,
130228016,426663,433880,4,03-Jun-13,940,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,27,Car,
130228016,426663,433880,4,03-Jun-13,940,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,42,Car,
130228016,426663,433880,4,03-Jun-13,940,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,28,Car,
130228730,432651,435882,3,03-Jun-13,1620,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,33,Car,
130228730,432651,435882,3,03-Jun-13,1620,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,13,Car,
130228868,421296,444894,2,03-Jun-13,1645,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,59,Pedal cycle,
130229536,436282,425920,2,23-May-13,1514,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,47,Car,
130229735,432291,435053,1,28-May-13,1200,B,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,31,Car,
130229823,429564,440823,1,03-Jun-13,1012,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,63,Car,
130229874,432066,438172,2,03-Jun-13,1108,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,40,Pedal cycle,
130230197,442667,428745,1,04-Jun-13,1420,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,55,Motorcycle over 50cc and up to 125cc,
130230337,429788,431091,1,04-Jun-13,1530,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,8,Car,
130230387,427794,425846,2,04-Jun-13,1527,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,65,Pedal cycle,
130230461,430232,435117,2,04-Jun-13,1740,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,40,Pedal cycle,
130230513,423874,434541,2,04-Jun-13,1650,B,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,34,Motorcycle over 500cc,
130230513,423874,434541,2,04-Jun-13,1650,B,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,34,Motorcycle over 500cc,
130230583,423844,437533,2,04-Jun-13,1934,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,20,Motorcycle over 50cc and up to 125cc,
130232250,428892,429811,2,03-Jun-13,1930,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,43,Pedal cycle,
130232261,435855,426140,2,05-Jun-13,1800,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,23,Car,
130232261,435855,426140,2,05-Jun-13,1800,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Fatal,Male,47,Motorcycle over 500cc,
130232300,431888,435633,2,05-Jun-13,1950,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,44,Car,
130233701,428793,426351,2,06-Jun-13,1814,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Serious,Male,23,Pedal cycle,
130233738,432451,436460,2,06-Jun-13,1650,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,21,Pedal cycle,
130233844,428729,435037,2,06-Jun-13,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,23,Car,
130233846,415274,441394,4,06-Jun-13,1625,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,45,Motorcycle over 125cc and up to 500cc,
130233846,415274,441394,4,06-Jun-13,1625,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,56,Car,
130234684,423228,438971,2,06-Jun-13,1330,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,36,Car,
130234870,428386,432524,2,07-Jun-13,721,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,35,Pedal cycle,
130234881,433054,426426,2,07-Jun-13,1047,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,73,Car,
130234881,433054,426426,2,07-Jun-13,1047,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,22,Car,
130234881,433054,426426,2,07-Jun-13,1047,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,17,Car,
130235303,428442,427375,2,07-Jun-13,1425,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,27,Pedal cycle,
130235407,430376,437860,2,07-Jun-13,1420,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,32,Pedal cycle,
130235645,430459,437506,1,07-Jun-13,2105,A,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,23,Car,
130235767,427560,433713,2,08-Jun-13,445,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,29,Car,
130235767,427560,433713,2,08-Jun-13,445,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,26,Car,
130235888,420767,439800,2,07-Jun-13,1530,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,59,Car,
130235998,429883,433507,2,08-Jun-13,1550,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,45,Bus or coach (17 or more passenger seats),
130236109,432786,436847,2,08-Jun-13,1225,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,26,Car,
130236182,428471,425671,1,07-Jun-13,1945,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,26,Car,
130236182,428471,425671,1,07-Jun-13,1945,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,30,Car,
130236317,429329,439590,2,07-Jun-13,1459,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,71,Car,
130236896,430529,435406,1,09-Jun-13,30,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,56,Taxi/Private hire car,
130237125,440714,448632,2,08-Jun-13,950,B,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,13,Pedal cycle,
130237327,431687,433434,1,08-Jun-13,1945,A,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,35,Car,
130237327,431687,433434,1,08-Jun-13,1945,A,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,9,Car,
130237372,425282,432978,1,08-Jun-13,2050,A,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,15,Car,
130237391,437984,432920,2,09-Jun-13,1142,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,59,Car,
130237391,437984,432920,2,09-Jun-13,1142,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,23,Bus or coach (17 or more passenger seats),
130237391,437984,432920,2,09-Jun-13,1142,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,3,Bus or coach (17 or more passenger seats),
130237414,429306,433211,2,09-Jun-13,1055,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,45,Pedal cycle,
130237693,429942,427018,2,09-Jun-13,1735,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Serious,Male,41,Motorcycle over 500cc,
130237850,430453,437063,2,09-Jun-13,1852,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,47,Car,
130237850,430453,437063,2,09-Jun-13,1852,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,43,Car,
130238591,432216,444907,2,01-Jun-13,2235,A,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,40,Bus or coach (17 or more passenger seats),
130238795,427013,431638,2,09-Jun-13,1915,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,74,Car,
130238799,420501,446322,2,09-Jun-13,1525,B,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,48,Pedal cycle,
130238840,429919,427947,1,10-Jun-13,1258,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,23,Car,
130239556,422927,437550,2,10-Jun-13,1740,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,52,Car,
130240449,429912,436941,1,11-Jun-13,1200,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,4,Bus or coach (17 or more passenger seats),
130240876,428621,433204,2,11-Jun-13,640,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,30,Pedal cycle,
130240920,430025,432582,2,11-Jun-13,1635,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,21,Car,
130240946,431329,435458,2,10-Jun-13,1655,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,10,Pedal cycle,
130241294,425912,432240,3,11-Jun-13,2050,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,35,Car,
130241636,426870,437522,2,01-Jun-13,655,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,20,Pedal cycle,
130242188,434807,438016,1,12-Jun-13,1315,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,46,Car,
130242648,426634,433491,2,12-Jun-13,1523,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,33,Car,
130242648,426634,433491,2,12-Jun-13,1523,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,14,Car,
130242648,426634,433491,2,12-Jun-13,1523,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,5,Car,
130242662,427419,434617,2,10-Jun-13,1750,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,31,Pedal cycle,
130242696,442422,440005,2,12-Jun-13,1345,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,61,Car,
130242696,442422,440005,2,12-Jun-13,1345,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Female,56,Car,
130242775,431925,439701,2,11-Jun-13,1956,Unclassified,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver,Serious,Male,56,Motorcycle over 125cc and up to 500cc,
130243926,427006,429382,3,13-Jun-13,1350,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,56,Goods vehicle 3.5 tonnes mgw and under,
130244326,438666,445826,2,13-Jun-13,1630,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,75,Car,
130244351,429700,433789,1,13-Jun-13,1741,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,25,Taxi/Private hire car,
130244351,429700,433789,1,13-Jun-13,1741,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,45,Taxi/Private hire car,
130245127,429147,431735,2,15-Jun-13,830,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,36,Pedal cycle,
130245503,436812,433740,4,14-Jun-13,1209,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,52,Car,
130245503,436812,433740,4,14-Jun-13,1209,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,50,Car,
130245503,436812,433740,4,14-Jun-13,1209,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,84,Car,
130245724,426708,426689,2,14-Jun-13,1350,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,16,Pedal cycle,
130245971,418258,442430,2,14-Jun-13,1540,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,43,Car,
130246173,424144,430432,2,13-Jun-13,1755,A,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,15,Car,
130246173,424144,430432,2,13-Jun-13,1755,A,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,19,Car,
130246173,424144,430432,2,13-Jun-13,1755,A,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,16,Car,
130246578,436072,435561,2,14-Jun-13,1030,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,27,Car,
130246713,428897,431639,1,13-Jun-13,1520,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,5,Bus or coach (17 or more passenger seats),
130246833,426987,433432,2,14-Jun-13,1745,Unclassified,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,19,Car,
130246833,426987,433432,2,14-Jun-13,1745,Unclassified,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,18,Car,
130246929,443333,438878,2,15-Jun-13,1505,A(M),Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,18,Motorcycle over 125cc and up to 500cc,
130247370,426472,427393,1,15-Jun-13,1917,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Female,14,Car,
130247558,422029,440630,2,15-Jun-13,2200,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,18,Motorcycle over 50cc and up to 125cc,
130248548,432064,436086,3,16-Jun-13,1350,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,89,Car,
130248548,432064,436086,3,16-Jun-13,1350,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,63,Car,
130248558,430559,435131,2,16-Jun-13,940,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,38,Car,
130248823,430616,434203,2,16-Jun-13,1830,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,29,Car,
130248823,430616,434203,2,16-Jun-13,1830,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,36,Car,
130250001,426379,437871,2,17-Jun-13,1540,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,29,Pedal cycle,
130250131,426752,436308,3,17-Jun-13,1620,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,57,Car,
130250256,433368,435632,1,17-Jun-13,1915,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Serious,Male,7,Car,
130250660,424242,434779,2,01-Jun-13,131,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,31,Car,
130250701,424077,434710,1,18-Jun-13,805,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,15,Car,
130250956,420813,434417,3,18-Jun-13,1030,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,84,Car,
130250956,420813,434417,3,18-Jun-13,1030,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,57,Car,
130251395,433952,437106,2,18-Jun-13,1455,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,48,Pedal cycle,
130251439,423946,434180,1,16-Jun-13,1330,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,27,Car,
130251500,430851,434073,1,18-Jun-13,1720,A,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,50,Bus or coach (17 or more passenger seats),
130251684,422049,436475,1,18-Jun-13,920,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,24,Car,
130251749,436054,436621,2,18-Jun-13,2043,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,44,Pedal cycle,
130251762,426229,435496,2,18-Jun-13,2005,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,41,Pedal cycle,
130251975,430763,439209,2,18-Jun-13,2329,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,22,Car,
130251975,430763,439209,2,18-Jun-13,2329,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,42,Car,
130252657,428168,438564,1,19-Jun-13,848,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Female,24,Car,
130252739,431712,435563,2,19-Jun-13,1314,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,82,Car,
130252839,430194,431950,2,18-Jun-13,1615,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,73,Bus or coach (17 or more passenger seats),
130252839,430194,431950,2,18-Jun-13,1615,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,19,Bus or coach (17 or more passenger seats),
130253224,439136,432460,2,19-Jun-13,1851,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,20,Car,
130253395,437945,429924,4,19-Jun-13,2030,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,28,Motorcycle over 500cc,
130253395,437945,429924,4,19-Jun-13,2030,A,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Serious,Male,26,Motorcycle over 500cc,
130253395,437945,429924,4,19-Jun-13,2030,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,39,Car,
130253798,424680,427580,2,20-Jun-13,645,Motorway,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,32,Car,
130253827,431307,429060,2,18-Jun-13,1830,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,29,Pedal cycle,
130254021,429324,435006,2,20-Jun-13,1021,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,28,Pedal cycle,
130254237,427407,433045,2,19-Jun-13,1959,B,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,33,Car,
130254337,428202,434187,2,20-Jun-13,1220,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,65,Bus or coach (17 or more passenger seats),
130254534,435738,437026,2,17-Jun-13,950,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,43,Pedal cycle,
130256044,433517,435580,2,21-Jun-13,1500,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,50,Agricultural vehicle (includes diggers etc.),
130256044,433517,435580,2,21-Jun-13,1500,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,34,Car,
130256206,420178,441793,2,21-Jun-13,1715,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,24,Car,
130256206,420178,441793,2,21-Jun-13,1715,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,19,Car,
130256284,428514,433240,2,21-Jun-13,1820,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Serious,Male,48,Motorcycle over 50cc and up to 125cc,
130256319,430436,435716,2,21-Jun-13,1838,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,37,Pedal cycle,
130256461,425189,435067,2,21-Jun-13,1950,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Serious,Male,38,Pedal cycle,
130256721,420963,434371,1,01-Jun-13,120,A,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,26,Goods vehicle 3.5 tonnes mgw and under,
130256721,420963,434371,1,01-Jun-13,120,A,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,38,Goods vehicle 3.5 tonnes mgw and under,
130257109,437237,429417,4,22-Jun-13,1003,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,55,Car,
130257109,437237,429417,4,22-Jun-13,1003,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,43,Car,
130257109,437237,429417,4,22-Jun-13,1003,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,32,Car,
130257109,437237,429417,4,22-Jun-13,1003,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,34,Car,
130257324,430795,432823,1,22-Jun-13,1435,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,32,Car,
130258325,436135,435268,2,22-Jun-13,1840,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,24,Car,
130258796,427736,434456,2,23-Jun-13,1748,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,33,Car,
130258796,427736,434456,2,23-Jun-13,1748,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,21,Car,
130260334,430648,438179,2,22-Jun-13,945,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,49,Pedal cycle,
130260606,428448,432655,2,24-Jun-13,1955,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,26,Taxi/Private hire car,
130260606,428448,432655,2,24-Jun-13,1955,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,23,Car,
130260653,429582,434807,2,24-Jun-13,2015,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,27,Car,
130261195,426671,439880,2,25-Jun-13,847,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,11,Pedal cycle,
130261685,427998,426243,2,24-Jun-13,915,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,35,Car,
130262116,431452,430726,2,25-Jun-13,1620,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,29,Car,
130262117,427821,436513,2,24-Jun-13,1850,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,26,Pedal cycle,
130262119,426961,437472,1,25-Jun-13,1435,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,25,Car,
130262995,431794,426347,2,26-Jun-13,720,Motorway,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,20,Car,
130263069,440712,429058,2,25-Jun-13,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,8,Pedal cycle,
130263138,431571,434384,1,25-Jun-13,1525,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,79,Car,
130263221,422464,432895,1,24-Jun-13,1330,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,15,Car,
130263485,418965,441734,1,25-Jun-13,1505,B,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,52,Bus or coach (17 or more passenger seats),
130263485,418965,441734,1,25-Jun-13,1505,B,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,62,Bus or coach (17 or more passenger seats),
130263794,432378,435603,2,26-Jun-13,1715,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,22,Pedal cycle,
130263976,424716,427934,2,26-Jun-13,1815,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,27,Pedal cycle,
130264320,440187,429558,2,27-Jun-13,625,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,26,Car,
130264320,440187,429558,2,27-Jun-13,625,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,29,Car,
130264387,430429,434305,2,27-Jun-13,755,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,33,Car,
130264387,430429,434305,2,27-Jun-13,755,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,29,Car,
130264880,431904,434835,1,27-Jun-13,1320,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,52,Car,
130264953,431968,435825,2,20-Jun-13,835,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,37,Motorcycle over 125cc and up to 500cc,
130265002,431483,435008,2,20-Jun-13,1630,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,39,Car,
130265503,427892,436204,1,27-Jun-13,1725,A,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Female,81,Pedal cycle,
130265541,428944,440016,2,27-Jun-13,1810,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,40,Pedal cycle,
130265554,431602,435341,1,27-Jun-13,1710,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Serious,Female,4,Car,
130265687,427412,434694,2,27-Jun-13,110,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,20,Pedal cycle,
130266065,426232,433073,2,28-Jun-13,820,B,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,36,Pedal cycle,
130266171,430456,431165,1,28-Jun-13,935,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,22,Motorcycle over 50cc and up to 125cc,
130266277,431002,430599,2,28-Jun-13,1135,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,70,Other Vehicle ,
